Date,ULTAStoreNo,City,TotalQtySold,TotalGrossSales
{"":"2024-08-18,383,Lexington                ,8,300.5
{"":"2024-08-18,384,Highland                 ,28,1162
{"":"2024-08-18,385,Fort Lauderdale          ,32,1502.5
{"":"2024-08-18,388,San Antonio              ,19,1041
{"":"2024-08-18,389,Folsom                   ,32,2109
{"":"2024-08-18,390,Tulsa                    ,14,655.5
{"":"2024-08-18,391,Tyler                    ,21,763.5
{"":"2024-08-18,392,Flowood                  ,6,355
{"":"2024-08-18,393,Horseheads               ,11,546.5
{"":"2024-08-18,394,Union Gap                ,7,306
{"":"2024-08-18,395,Bloomington              ,18,788
{"":"2024-08-18,396,Camillus                 ,14,563.5
{"":"2024-08-18,397,Dallas                   ,22,815
{"":"2024-08-18,398,West Jordan              ,6,171
{"":"2024-08-18,399,Maywood                  ,22,948.5
{"":"2024-08-18,400,River Forest             ,21,879.5
{"":"2024-08-18,402,Irving                   ,19,1017
{"":"2024-08-18,403,Houston                  ,34,1567.5
{"":"2024-08-18,404,Glen Allen               ,32,1560.5
{"":"2024-08-18,405,Corpus Christi           ,8,391.5
{"":"2024-08-18,406,Tupelo                   ,1,44
{"":"2024-08-18,407,D'Iberville              ,5,273
{"":"2024-08-18,408,Anderson                 ,25,1495.5
{"":"2024-08-18,409,Abilene                  ,5,221
{"":"2024-08-18,410,Fairview Heights         ,18,706
{"":"2024-08-18,411,Portland                 ,61,2876.5
{"":"2024-08-18,412,Augusta                  ,16,714.5
{"":"2024-08-18,414,Aurora                   ,31,1519
{"":"2024-08-18,415,Longview                 ,19,825.5
{"":"2024-08-18,416,Wilkes Barre             ,19,913
{"":"2024-08-18,417,Fayetteville             ,26,1199
{"":"2024-08-18,418,Ashwaubenon              ,28,1257
{"":"2024-08-18,419,Rogers                   ,37,1723
{"":"2024-08-18,420,Duluth                   ,13,574
{"":"2024-08-18,421,Avon                     ,17,1051
{"":"2024-08-18,422,Columbus                 ,12,575
{"":"2024-08-18,423,Chicago                  ,24,916
{"":"2024-08-18,424,Columbus                 ,22,1067.5
{"":"2024-08-18,425,Summerville              ,25,1524.5
{"":"2024-08-18,426,Cincinnati               ,9,413
{"":"2024-08-18,427,Quakertown               ,12,691.5
{"":"2024-08-18,428,Davenport                ,22,1152
{"":"2024-08-18,429,Littleton                ,31,1885
{"":"2024-08-18,430,Schaumburg               ,8,474.5
{"":"2024-08-18,431,Laredo                   ,27,1503
{"":"2024-08-18,432,Holland                  ,2,41.5
{"":"2024-08-18,433,Santa Rosa               ,38,1938.5
{"":"2024-08-18,434,Chandler                 ,16,987.5
{"":"2024-08-18,435,Manchester               ,21,914
{"":"2024-08-18,436,Albuquerque              ,31,1507.5
{"":"2024-08-18,437,Brandon                  ,34,1484
{"":"2024-08-18,438,Sandusky                 ,14,593.5
{"":"2024-08-18,439,Kokomo                   ,8,293.5
{"":"2024-08-18,440,Charlottesville          ,14,707.5
{"":"2024-08-18,441,Akron                    ,8,221.5
{"":"2024-08-18,442,Troy                     ,13,572.5
{"":"2024-08-18,443,Sheboygan Falls          ,12,612
{"":"2024-08-18,444,Norman                   ,12,604
{"":"2024-08-18,446,Denton                   ,11,513
{"":"2024-08-18,447,Brunswick                ,13,744.5
{"":"2024-08-18,448,Aventura                 ,47,2599
{"":"2024-08-18,449,Bozeman                  ,41,1844
{"":"2024-08-18,450,Manchester               ,40,1951
{"":"2024-08-18,451,Northborough             ,13,642.5
{"":"2024-08-18,452,Glendora                 ,59,3343.3
{"":"2024-08-18,453,Bloomingdale             ,34,1831
{"":"2024-08-18,455,Farmington               ,7,222
{"":"2024-08-18,456,Gastonia                 ,22,984
{"":"2024-08-18,457,Redondo Beach            ,41,1861
{"":"2024-08-18,458,Peabody                  ,23,1332.5
{"":"2024-08-18,459,Saint George             ,18,893.5
{"":"2024-08-18,460,Nampa                    ,17,831.5
{"":"2024-08-18,461,Garner                   ,22,601.5
{"":"2024-08-18,462,Columbia                 ,20,951.5
{"":"2024-08-18,463,Denham Springs           ,7,227
{"":"2024-08-18,464,Keizer                   ,5,239
{"":"2024-08-18,465,Fargo                    ,17,792.5
{"":"2024-08-18,466,Champaign                ,13,701.5
{"":"2024-08-18,467,Lake Forest              ,25,1353
{"":"2024-08-18,468,Bossier City             ,8,377.5
{"":"2024-08-18,469,Bakersfield              ,24,1449
{"":"2024-08-18,472,Wichita                  ,26,1316
{"":"2024-08-18,473,Muncy                    ,10,525
{"":"2024-08-18,474,Valencia                 ,66,3320
{"":"2024-08-18,475,Woodhaven                ,1,-119
{"":"2024-08-18,477,Madison                  ,14,600.5
{"":"2024-08-18,478,Mobile                   ,11,456.5
{"":"2024-08-18,479,Boardman                 ,8,128.5
{"":"2024-08-18,480,Mayfield Heights         ,11,529.5
{"":"2024-08-18,481,Wichitam                 ,6,283.5
{"":"2024-08-18,482,Hendersonville           ,24,896.5
{"":"2024-08-18,484,Pittsburgh               ,20,1069.5
{"":"2024-08-18,485,Novi                     ,9,584.5
{"":"2024-08-18,486,Glorence                 ,6,246.5
{"":"2024-08-18,487,Marietta                 ,18,863.5
{"":"2024-08-18,489,Frederick                ,38,1934
{"":"2024-08-18,490,Bowling Green            ,3,168.5
{"":"2024-08-18,491,Garland                  ,20,914
{"":"2024-08-18,492,San Jose                 ,10,414.5
{"":"2024-08-18,493,Beaverton                ,26,1246
{"":"2024-08-18,494,Odessa                   ,21,930.5
{"":"2024-08-18,495,Nashua                   ,36,1550.5
{"":"2024-08-18,496,Winchester               ,16,721
{"":"2024-08-18,497,Medford                  ,14,391.5
{"":"2024-08-18,498,Beavercreek              ,12,487
{"":"2024-08-18,499,Rancho Santa Margarita   ,15,578.5
{"":"2024-08-18,500,San Angelo               ,6,319.5
{"":"2024-08-18,501,Blue Springs             ,16,723.5
{"":"2024-08-18,502,Redmond                  ,8,350
{"":"2024-08-18,503,Columbia                 ,19,859.5
{"":"2024-08-18,504,Peoria                   ,29,1429.5
{"":"2024-08-18,505,Shelby Township          ,14,530.5
{"":"2024-08-18,506,Owensboro                ,10,510
{"":"2024-08-18,507,Norton Shores            ,13,594.5
{"":"2024-08-18,508,Daphne                   ,15,838.5
{"":"2024-08-18,509,Monroe                   ,26,1496
{"":"2024-08-18,510,South Ramsey             ,28,1815.5
{"":"2024-08-18,511,Watertown                ,13,656
{"":"2024-08-18,513,Apple Valley             ,13,516.5
{"":"2024-08-18,514,Evansville               ,13,748
{"":"2024-08-18,515,Joplin                   ,8,344
{"":"2024-08-18,516,Bloomfield Hills         ,12,535.5
{"":"2024-08-18,518,East Brunswick           ,9,521
{"":"2024-08-18,519,Bee Cave                 ,23,1293
{"":"2024-08-18,520,Palm Desert              ,21,991
{"":"2024-08-18,521,Carrollton               ,15,599.5
{"":"2024-08-18,522,Saginaw                  ,11,576
{"":"2024-08-18,523,Fort Gratiot             ,7,268.5
{"":"2024-08-18,524,Dubuque                  ,9,564
{"":"2024-08-18,525,Garden City              ,6,265
{"":"2024-08-18,526,Braintree                ,17,544.5
{"":"2024-08-18,527,Waldorf                  ,63,2830
{"":"2024-08-18,528,Norcross                 ,17,649.5
{"":"2024-08-18,529,Harahan                  ,27,1210.5
{"":"2024-08-18,530,Augusta                  ,40,2373.5
{"":"2024-08-18,531,Clearwater               ,14,544.5
{"":"2024-08-18,532,Council Bluffs           ,10,408
{"":"2024-08-18,533,Covington                ,19,805.5
{"":"2024-08-18,535,Lincoln                  ,10,502
{"":"2024-08-18,536,Pasadena                 ,14,513
{"":"2024-08-18,537,Sanford                  ,20,876
{"":"2024-08-18,538,Stuart                   ,29,1420
{"":"2024-08-18,539,Temple                   ,17,820
{"":"2024-08-18,540,Westminster              ,21,869
{"":"2024-08-18,541,Flint                    ,7,284.5
{"":"2024-08-18,542,Lancaster                ,13,726
{"":"2024-08-18,543,Vestal                   ,10,456.5
{"":"2024-08-18,544,Garden city              ,37,2015.5
{"":"2024-08-18,545,Vacaville                ,27,1396.5
{"":"2024-08-18,546,El Paso                  ,8,440
{"":"2024-08-18,547,Goleta                   ,18,796.5
{"":"2024-08-18,548,Hanover                  ,12,638
{"":"2024-08-18,549,Allen                    ,30,1792
{"":"2024-08-18,550,Florence                 ,15,739.5
{"":"2024-08-18,551,Morgantown               ,16,497
{"":"2024-08-18,552,Benton Harbor            ,1,44
{"":"2024-08-18,553,Lee's Summit             ,18,1096.5
{"":"2024-08-18,554,East Pupyallup           ,22,1055.5
{"":"2024-08-18,555,Leesburg                 ,16,687.5
{"":"2024-08-18,556,Springfield              ,21,1217
{"":"2024-08-18,557,Arlington                ,14,544
{"":"2024-08-18,558,Williamsburg             ,15,739.5
{"":"2024-08-18,559,Warsaw                   ,2,98
{"":"2024-08-18,561,Char                     ,22,991.5
{"":"2024-08-18,562,Culver City              ,34,1175
{"":"2024-08-18,563,Township                 ,20,1078
{"":"2024-08-18,564,Stillwater               ,9,401
{"":"2024-08-18,565,Stow                     ,5,254
{"":"2024-08-18,566,Spring                   ,19,775
{"":"2024-08-18,567,South richmond           ,24,1210
{"":"2024-08-18,568,Colma                    ,20,1214
{"":"2024-08-18,569,Huntington               ,0,0
{"":"2024-08-18,570,Gainesville              ,37,1695.5
{"":"2024-08-18,571,Rosenburg                ,14,712
{"":"2024-08-18,573,Solon                    ,2,115
{"":"2024-08-18,574,Boise                    ,12,536
{"":"2024-08-18,575,Turlock                  ,46,2099
{"":"2024-08-18,576,Coral Springs            ,18,776
{"":"2024-08-18,577,Rib Mountain             ,8,551
{"":"2024-08-18,578,Boca Raton               ,16,617.5
{"":"2024-08-18,579,Tracy                    ,14,724.5
{"":"2024-08-18,580,Grand Rapids             ,17,841
{"":"2024-08-18,581,Davie                    ,24,839
{"":"2024-08-18,582,Fenton                   ,5,137
{"":"2024-08-18,583,El Cajon                 ,28,1361.5
{"":"2024-08-18,584,Traverse City            ,15,927.5
{"":"2024-08-18,585,Florissant               ,3,132.5
{"":"2024-08-18,586,Plano                    ,13,579
{"":"2024-08-18,587,McDonough                ,36,1675
{"":"2024-08-18,588,San Diego                ,43,1838
{"":"2024-08-18,589,Holly Springs            ,17,704.5
{"":"2024-08-18,590,Charlotte                ,19,640
{"":"2024-08-18,591,Waukesha                 ,5,266.5
{"":"2024-08-18,592,D'Alene                  ,46,2885.5
{"":"2024-08-18,593,Sand City                ,29,1679
{"":"2024-08-18,594,Port Charles             ,9,512
{"":"2024-08-18,595,Bangor                   ,37,1922.5
{"":"2024-08-18,596,Pensacola                ,27,1110
{"":"2024-08-18,597,Long Bech                ,68,3343
{"":"2024-08-18,598,Cincinnati               ,13,779
{"":"2024-08-18,599,Newington                ,43,2133
{"":"2024-08-18,600,Springfield              ,10,394
{"":"2024-08-18,601,Grandville               ,14,693.5
{"":"2024-08-18,602,Gabrills                 ,28,1100
{"":"2024-08-18,603,Florence                 ,6,370
{"":"2024-08-18,604,Seal Beach               ,44,1788
{"":"2024-08-18,605,Wauwatosa                ,11,495.5
{"":"2024-08-18,606,Petaluma                 ,23,1450.5
{"":"2024-08-18,607,West Richfield           ,16,794
{"":"2024-08-18,608,Roanoke                  ,17,781
{"":"2024-08-18,609,Spartanburg              ,15,667
{"":"2024-08-18,610,Little Rock              ,17,704
