Date,SEPHORAStoreNo,TotalQtySold,TotalGrossSales
{"":"2024-08-18,0348,24,1231.5
{"":"2024-08-18,0350,11,627.5
{"":"2024-08-18,0352,34,1525.5
{"":"2024-08-18,0354,15,606.5
{"":"2024-08-18,0356,36,1565.5
{"":"2024-08-18,0358,37,1457.5
{"":"2024-08-18,0360,19,554.5
{"":"2024-08-18,0362,26,1229.5
{"":"2024-08-18,0364,24,1047.5
{"":"2024-08-18,0366,13,698.5
{"":"2024-08-18,0368,36,1816.5
{"":"2024-08-18,0370,25,1091.5
{"":"2024-08-18,0372,12,364.5
{"":"2024-08-18,0374,34,1255.5
{"":"2024-08-18,0376,19,780.5
{"":"2024-08-18,0378,6,233.5
{"":"2024-08-18,0380,-1,-64
{"":"2024-08-18,0382,13,630.5
{"":"2024-08-18,0384,12,595
{"":"2024-08-18,0386,0,0
{"":"2024-08-18,0388,18,1002
{"":"2024-08-18,0390,16,761.5
{"":"2024-08-18,0392,9,341.5
{"":"2024-08-18,0394,35,1299
{"":"2024-08-18,0396,26,1164.5
{"":"2024-08-18,0398,54,2842
{"":"2024-08-18,0404,38,2224
{"":"2024-08-18,0406,16,835.5
{"":"2024-08-18,0408,26,1370.5
{"":"2024-08-18,0410,36,1451.5
{"":"2024-08-18,0412,12,659.5
{"":"2024-08-18,0414,34,1297.5
{"":"2024-08-18,0416,31,1443.5
{"":"2024-08-18,0418,9,429.5
{"":"2024-08-18,0420,8,281
{"":"2024-08-18,0422,14,632
{"":"2024-08-18,0426,10,534
{"":"2024-08-18,0428,12,317
{"":"2024-08-18,0430,0,0
{"":"2024-08-18,0432,3,53
{"":"2024-08-18,0434,14,775.5
{"":"2024-08-18,0436,7,359.5
{"":"2024-08-18,0438,8,496
{"":"2024-08-18,0440,20,938
{"":"2024-08-18,0442,5,189
{"":"2024-08-18,0444,3,101
{"":"2024-08-18,0446,7,280
{"":"2024-08-18,0448,22,1001
{"":"2024-08-18,0450,3,202.5
{"":"2024-08-18,0454,14,505.5
{"":"2024-08-18,0456,6,271.5
{"":"2024-08-18,0458,21,1054.5
{"":"2024-08-18,0460,32,1470
{"":"2024-08-18,0462,15,863
{"":"2024-08-18,0464,22,1253
{"":"2024-08-18,0466,6,297
{"":"2024-08-18,0468,14,609.5
{"":"2024-08-18,0470,11,583
{"":"2024-08-18,0472,13,639.5
{"":"2024-08-18,0474,13,400
{"":"2024-08-18,0476,16,680
{"":"2024-08-18,0478,-2,-158
{"":"2024-08-18,0480,5,306
{"":"2024-08-18,0482,4,190
{"":"2024-08-18,0484,8,299
{"":"2024-08-18,0488,11,424.5
{"":"2024-08-18,0490,17,888
{"":"2024-08-18,0492,9,442
{"":"2024-08-18,0494,13,582
{"":"2024-08-18,0496,2,131
{"":"2024-08-18,0498,3,83.5
{"":"2024-08-18,0502,0,0
